Region,Population,Net_migration,Infant_mortality_per_1000_births,GDP,Literacy_percent,Arable_percent,Birthrate,Deathrate
WESTERN EUROPE                     ,58133509,2.07,5.94,26700.0,98.6,27.79,8.72,10.4
LATIN AMER. & CARIB    ,2758124,-4.92,12.36,3900.0,87.9,16.07,20.82,6.52
ASIA (EX. NEAR EAST)         ,127463611,0.0,3.26,28200.0,99.0,12.19,9.37,9.16
WESTERN EUROPE                     ,91084,2.76,5.24,24800.0,,0.0,9.3,9.28
NEAR EAST                          ,5906760,6.59,17.35,4300.0,91.3,2.67,21.25,2.65
C.W. OF IND. STATES ,15233244,-3.35,29.21,6300.0,98.4,7.98,16.0,9.42
SUB-SAHARAN AFRICA                 ,34707817,-0.1,61.47,1000.0,85.1,8.08,39.72,14.02
OCEANIA                            ,105432,0.0,48.52,800.0,,2.74,30.65,8.26
ASIA (EX. NEAR EAST)         ,23113019,0.0,24.04,1300.0,99.0,20.76,15.54,7.13
ASIA (EX. NEAR EAST)         ,48846823,0.0,7.05,17800.0,97.9,17.18,10.0,5.85
NEAR EAST                          ,2418393,14.18,9.95,19000.0,83.5,0.73,21.94,2.41
C.W. OF IND. STATES ,5213898,-2.45,35.64,1600.0,97.0,7.3,22.8,7.08
ASIA (EX. NEAR EAST)         ,6368481,0.0,85.22,1700.0,66.4,3.8,35.49,11.55
BALTICS                            ,2274735,-2.23,9.55,10200.0,99.8,29.67,9.24,13.66
NEAR EAST                          ,3874050,0.0,24.52,4800.0,87.4,16.62,18.52,6.21
SUB-SAHARAN AFRICA                 ,2022331,-0.74,84.23,3000.0,84.8,10.87,24.75,28.71
SUB-SAHARAN AFRICA                 ,3042004,0.0,128.87,1000.0,57.5,3.95,44.77,23.1
NORTHERN AFRICA                    ,5900754,0.0,24.6,6400.0,82.6,1.03,26.49,3.48
WESTERN EUROPE                     ,33987,4.85,4.7,25000.0,100.0,25.0,10.21,7.18
BALTICS                            ,3585906,-0.71,6.89,11400.0,99.6,45.22,8.75,10.98
WESTERN EUROPE                     ,474413,8.97,4.81,55100.0,100.0,23.28,11.94,8.41
ASIA (EX. NEAR EAST)         ,453125,4.86,4.39,19400.0,94.5,0.0,8.48,4.47
EASTERN EUROPE                     ,2050554,-1.45,10.09,6700.0,,22.26,12.02,8.77
SUB-SAHARAN AFRICA                 ,18595469,0.0,76.83,800.0,68.9,5.07,41.41,11.11
SUB-SAHARAN AFRICA                 ,13013926,0.0,103.32,600.0,62.7,23.38,43.13,19.33
ASIA (EX. NEAR EAST)         ,24385858,0.0,17.7,9000.0,88.7,5.48,22.86,5.05
ASIA (EX. NEAR EAST)         ,359008,0.0,56.52,3900.0,97.2,13.33,34.81,7.06
SUB-SAHARAN AFRICA                 ,11716829,-0.33,116.79,900.0,46.4,3.82,49.82,16.89
WESTERN EUROPE                     ,400214,2.07,3.89,17700.0,92.8,28.13,10.22,8.1
OCEANIA                            ,60422,-6.04,29.45,1600.0,93.7,16.67,33.05,4.78
LATIN AMER. & CARIB    ,436131,-0.05,7.09,14400.0,97.7,10.38,13.74,6.48
SUB-SAHARAN AFRICA                 ,3177388,0.0,70.89,1800.0,41.7,0.48,40.99,12.16
SUB-SAHARAN AFRICA                 ,1240827,-0.9,15.03,11400.0,85.6,49.26,15.43,6.86
SUB-SAHARAN AFRICA                 ,201234,6.78,62.4,2600.0,,,40.95,7.7
LATIN AMER. & CARIB    ,107449525,-4.87,20.91,9000.0,92.2,12.99,20.69,4.74
OCEANIA                            ,108004,-20.99,30.21,2000.0,89.0,5.71,24.68,4.75
C.W. OF IND. STATES ,4466706,-0.26,40.42,1800.0,99.1,55.3,15.7,12.64
WESTERN EUROPE                     ,32543,7.75,5.43,27000.0,99.0,0.0,9.19,12.91
ASIA (EX. NEAR EAST)         ,2832224,0.0,53.79,1800.0,97.8,0.77,21.59,6.95
